L,R,F,M,C
1027,15,14,33454,0.473863514
1827,9,23,21721,0.729792827
1477,17,22,27687,0.572528985
865,171,7,21151,0.749431705
522,61,12,17895,0.8857747970000001
2851,125,9,24396,0.64970364
1379,4,20,30575,0.5183901879999999
837,34,22,28043,0.565182755
1040,2,17,25172,0.629642857
2422,84,15,21161,0.7488384290000001
2566,450,16,23403,0.677079862
739,1,17,21025,0.753647087
955,221,13,22935,0.690853281
1651,108,15,22179,0.7143685470000001
518,55,11,28625,0.55349869
1179,214,13,19073,0.830606092
1509,163,13,21178,0.748044197
1870,31,14,23934,0.6618488339999999
1935,51,17,21884,0.723838878
450,145,14,18003,0.8798489140000001
1030,17,22,25174,0.629158656
2328,115,19,17983,0.880693433
1375,105,19,21718,0.729224146
811,5,22,22569,0.701714741
1182,12,13,21966,0.7209765090000001
838,46,23,19853,0.7976240370000001
1477,12,21,18993,0.83368083
1300,16,17,22579,0.701266664
744,197,11,18785,0.842841097
576,185,11,22947,0.689942912
1988,4,15,24736,0.6400133410000001
2812,12,24,26142,0.605540892
864,534,11,15829,1.0
830,123,11,23220,0.681651593
997,156,10,19842,0.797586937
1704,29,10,17357,0.9116667629999999
1487,102,22,24203,0.65378796
951,311,12,20254,0.781258023
876,559,15,19102,0.8283033190000001
1098,18,22,26391,0.5994770939999999
2209,82,11,18843,0.8396056890000001
1928,349,8,25157,0.628870692
2635,1,20,19655,0.804875095
537,280,8,24014,0.658772799
567,26,16,21306,0.7424955409999999
855,304,3,22814,0.693323398
1063,22,23,25344,0.624106297
2776,5,16,24678,0.640929573
3344,10,22,30155,0.524477864
2846,15,14,23062,0.685613563
2494,12,17,23404,0.675579388
1140,108,12,26486,0.596867024
833,106,9,20568,0.7685793470000001
2862,7,15,20899,0.7563730320000001
2752,3,15,24770,0.638165523
668,82,8,20183,0.7831501759999999
1463,21,15,26868,0.58828681
882,143,11,21494,0.7353559129999999
2807,51,14,24811,0.637037201
2368,77,22,24407,0.647547425
817,66,18,26944,0.58656584
1361,213,9,19635,0.8049029790000001
2043,60,3,27136,0.582385024
2604,71,15,23124,0.683381335
1448,62,14,27894,0.5664838320000001
1114,88,14,20570,0.7681614
2959,18,10,23651,0.668002621
2952,27,18,24151,0.654137303
3035,318,5,17318,0.912206952
3032,32,24,18473,0.855143723
515,30,13,21178,0.745893852
733,27,16,21432,0.7369134940000001
2675,20,21,19541,0.8082216879999999
3093,11,22,19966,0.791001202
2289,37,18,22827,0.691848688
1079,27,21,20009,0.789283822
2306,23,24,26288,0.600748631
996,10,15,26620,0.593241172
2130,1,8,18825,0.838856308
1141,12,20,19075,0.8277467890000001
2099,3,20,17959,0.8791408209999999
1602,118,15,25813,0.611598807
1318,52,14,18861,0.837004401
1578,17,18,21883,0.721402916
1546,74,17,23426,0.6738773159999999
2868,14,12,26631,0.5927753370000001
2186,51,19,20015,0.788698476
2793,107,16,22576,0.699203136
1224,8,26,20271,0.7786956740000001
902,203,10,19098,0.826490208
1682,40,24,20462,0.77135324
754,96,10,21587,0.731138185
950,16,7,18501,0.8528571429999999
2543,88,23,25263,0.6245762579999999
550,28,12,26670,0.5915729279999999
665,1,16,28876,0.546354066
2979,228,7,10552,1.4950616
2342,177,13,20947,0.7531183459999999
2314,86,17,25676,0.61439905
877,118,18,18817,0.838349365
941,74,23,32579,0.48416955700000003
1345,67,11,23507,0.6709533329999999
656,3,14,25019,0.630301371
2008,70,17,20500,0.7692219509999999
3413,39,21,26510,0.594826481
1450,95,20,25636,0.61510259
2685,1,26,27947,0.564158944
2443,132,13,20095,0.7845777559999999
1592,29,17,18612,0.847086826
563,1,7,14581,1.081175502
1103,432,8,20043,0.786538941
693,510,5,23839,0.66128403
2224,25,20,18509,0.8516651359999999
1440,1,26,21011,0.750165152
971,635,11,17353,0.9082809890000001
1023,104,13,25381,0.620982231
1462,66,17,23074,0.683047153
821,332,8,18974,0.830576051
414,7,14,24192,0.651373595
529,8,14,23247,0.6778268159999999
777,260,15,16760,0.9400966590000001
1510,2,23,30152,0.522475126
2705,185,5,18728,0.840971273
478,23,10,25041,0.6289349470000001
1628,20,7,20472,0.7690645759999999
1571,98,12,26552,0.592950813
1863,134,21,18018,0.8737690090000001
2936,7,14,21522,0.731448285
880,96,10,25030,0.628819417
774,429,24,21154,0.744022407
3307,44,18,25757,0.611046318
2476,1,33,22567,0.697413037
864,4,15,20043,0.7851973259999999
3430,110,15,24066,0.653922962
1532,23,14,27925,0.563540197
2587,84,9,18948,0.830512455
2663,45,14,23288,0.6756896259999999
928,7,14,23196,0.678302725
1508,43,26,18596,0.846037858
1150,261,11,19309,0.814773422
1916,65,9,17434,0.9023804059999999
2423,9,12,19031,0.8265713840000001
2684,305,3,32048,0.49083874200000005
929,268,9,25238,0.623276409
3102,66,17,16165,0.973084442
564,3,26,19883,0.791112005
2176,64,17,22660,0.6940560459999999
1309,49,16,27241,0.577326456
2345,46,16,18886,0.8327226520000001
2232,4,21,22376,0.702751162
3203,14,20,23817,0.66019188
503,178,13,20006,0.785851245
679,63,16,16705,0.941038013
2457,2,15,26109,0.602081658
530,163,11,20783,0.756297455
1074,67,15,25930,0.606154261
1560,25,21,18958,0.829004642
3166,1,26,26803,0.586341827
1161,18,23,22423,0.700853142
1251,17,12,21040,0.746894962
713,191,22,24975,0.629211211
1856,74,20,20707,0.75889844
1341,152,14,16237,0.967739114
936,83,15,18699,0.840279159
1693,11,19,26549,0.591788768
953,703,2,20272,0.775
2435,1,21,25399,0.618556242
1941,124,7,16543,0.94968869
1900,17,16,20961,0.7494609040000001
366,187,7,27328,0.574829479
1574,6,12,24484,0.641562245
3413,18,15,27341,0.574499835
1964,20,15,23322,0.673158391
586,341,26,31249,0.502392077
2966,65,18,27175,0.577624287
2813,2,25,28635,0.54811245
390,177,4,15589,1.00675797
897,166,14,25440,0.61690173
2051,30,6,12588,1.246666667
3376,89,17,21507,0.729655926
3000,4,21,21237,0.738895324
1210,51,14,22341,0.702360682
2857,4,32,26562,0.590728484
2399,102,25,22696,0.6912953820000001
373,14,11,13064,1.200979026
2797,1,20,25476,0.6158207720000001
1900,49,11,17285,0.907598496
1222,78,28,20327,0.771750873
466,25,16,19970,0.785491237
892,199,12,18814,0.8337392370000001
799,60,3,24381,0.643333333
1642,105,13,22101,0.709616307
2270,36,13,22185,0.7069123279999999
2267,210,12,18957,0.8272616979999999
3236,181,22,19391,0.8087030070000001
2118,75,19,17923,0.874898733
378,6,10,20948,0.74854831
2698,9,15,26718,0.586817501
924,5,12,24309,0.644933975
2443,132,18,23947,0.654633566
848,236,9,21339,0.734628614
2400,32,16,23963,0.6541555729999999
591,66,8,11939,1.312946645
1868,71,22,23691,0.661646617
1306,220,12,22785,0.6877858240000001
748,19,23,22523,0.695774986
1655,108,22,22144,0.7076779259999999
2375,6,25,21539,0.727514276
941,40,21,18171,0.86226955
2791,12,14,27003,0.58022516
1913,177,22,18645,0.840307857
2276,180,14,20650,0.758710896
2174,63,19,16412,0.954597855
1230,1,23,24023,0.6521483579999999
765,108,14,19466,0.8047924590000001
3024,10,16,26344,0.59467317
831,3,15,23881,0.655943218
1735,132,10,17800,0.88
2561,3,19,18339,0.8540972790000001
1369,50,13,20119,0.7785317359999999
1957,148,16,20076,0.780136481
2941,11,26,19519,0.802362314
1369,3,22,26095,0.6001391070000001
941,34,18,22393,0.6993466709999999
1956,42,14,21120,0.741466383
1854,132,3,17374,0.901289283
594,233,9,16817,0.9311220790000001
1346,8,22,27701,0.565273817
859,30,2,24464,0.64
1932,118,2,24464,0.64
1504,59,10,19685,0.7953731270000001
450,25,18,26275,0.595880495
1078,47,16,20928,0.748125
566,87,19,24531,0.638214096
2465,2,12,22845,0.685298752
1155,43,19,25629,0.6108279679999999
2136,31,19,22091,0.70865375
374,67,10,28727,0.544902357
526,13,11,19395,0.8070616140000001
1707,27,22,29738,0.526352815
2482,15,27,19332,0.809596007
1537,43,14,23661,0.661472043
2873,27,21,30363,0.515395712
1043,108,14,18688,0.837360873
649,67,9,33430,0.468057134
2368,144,17,18806,0.832018505
2419,23,18,23795,0.65750788
3089,310,5,10429,1.5
932,474,8,18808,0.8317045940000001
1917,9,15,25665,0.609429963
578,208,18,16293,0.959957037
2369,2,7,28158,0.5554435679999999
1740,100,14,18000,0.868825
373,12,18,21171,0.738676019
3069,106,14,23751,0.658357964
1837,33,14,22645,0.6904954740000001
566,7,9,17427,0.8971957309999999
3321,109,13,28466,0.549220825
662,22,10,16724,0.934815834
973,356,23,19757,0.7913043479999999
1097,141,15,24324,0.642715014
612,33,18,18346,0.8521040009999999
538,95,19,18527,0.843778809
1312,144,15,30981,0.50455505
1823,86,12,17352,0.900833333
1182,62,12,24091,0.648829853
1304,1,21,18949,0.824888912
887,90,14,19625,0.796463694
1256,104,23,17832,0.8765191790000001
2531,75,16,18684,0.83650289
1701,1,11,25902,0.603385453
1257,21,11,19881,0.785942357
1947,24,12,19658,0.794830095
2405,50,21,24677,0.633164485
380,29,16,21112,0.740036472
3106,80,32,23188,0.67373469
1441,46,17,21749,0.71828268
1644,40,13,20701,0.754568861
661,90,24,28377,0.55045107
763,89,19,20754,0.752611545
375,14,16,32055,0.487217595
2930,145,15,20009,0.780536259
820,372,9,20543,0.759971767
643,6,24,20027,0.779516653
3326,12,23,31872,0.489803589
2062,204,12,19019,0.820712445
2210,18,21,19944,0.782631368
1846,48,17,22041,0.708170682
3287,161,6,23198,0.672838607
1243,13,15,18077,0.863368922
505,136,3,15417,1.012278005
2510,60,10,18174,0.858644217
2492,16,19,26408,0.590905786
2386,26,20,18998,0.8213496159999999
2330,29,17,20687,0.7542408279999999
663,189,13,22148,0.7044338090000001
1182,186,14,19555,0.797792892
3042,174,16,29209,0.534106269
948,218,17,22044,0.707643803
1277,144,13,18548,0.84096075
1601,289,14,13716,1.137171916
1708,3,15,23000,0.67806
2010,1,16,20476,0.761635573
1256,36,14,20218,0.771308735
1039,429,12,19575,0.796628352
2406,15,14,21369,0.72971688
1537,43,10,27151,0.5742956060000001
420,2,22,27018,0.577104153
2131,234,11,24009,0.6494135529999999
385,7,25,17764,0.877700968
783,109,12,21670,0.719428703
1217,254,19,19231,0.810666112
1654,9,22,19339,0.8061032109999999
1263,35,19,20792,0.749762409
2293,32,9,24337,0.640479517
2777,23,13,15494,1.005884859
1179,191,23,23753,0.656131436
669,424,21,19655,0.792910201
3405,308,17,25714,0.6060472889999999
1075,134,12,24102,0.646474981
429,21,10,21816,0.714197836
3232,17,14,23744,0.6561489220000001
469,143,12,20796,0.749128198
475,76,27,23200,0.6714926720000001
2436,39,8,17036,0.91445351
811,244,21,20227,0.77017798
2479,216,10,21340,0.73
370,66,11,20042,0.777272727
604,172,17,21998,0.70814665
374,9,12,22442,0.694069156
2030,109,6,26284,0.592579516
1234,122,24,19185,0.811842585
1035,102,17,16200,0.961412963
1264,133,21,21380,0.7284738070000001
1553,128,15,24089,0.646486778
661,112,13,23325,0.667634298
628,202,12,19129,0.813907157
3295,200,11,18124,0.858967115
2872,157,11,21094,0.738011283
480,106,12,23216,0.6705530670000001
2716,125,13,25034,0.621832308
1042,1,14,21201,0.7341931979999999
1157,5,17,23359,0.666359005
973,51,16,23502,0.662282784
3125,3,17,21008,0.7408901370000001
2219,47,17,29986,0.519017542
1232,121,17,17006,0.91503587
2413,220,4,17384,0.8950264609999999
3125,4,11,11899,1.3075913940000001
812,142,17,31073,0.500715734
1230,155,14,26924,0.577853959
913,9,26,16874,0.921923077
2211,31,18,20011,0.77736295
562,130,21,26625,0.5841325820000001
773,18,19,22917,0.678644238
1431,8,11,24847,0.625900511
2364,90,14,27246,0.5707656170000001
1516,2,25,24183,0.643056693
2138,249,14,23172,0.671104782
563,179,10,22603,0.687973278
2824,2,18,18929,0.8214121190000001
2581,9,23,21905,0.709730199
998,137,13,20525,0.7574377590000001
2340,4,14,20505,0.758095099
749,206,19,18331,0.8479455570000001
2301,4,16,19099,0.8137525520000001
426,31,27,24500,0.634311837
2890,14,15,22316,0.696377487
2743,23,28,22365,0.694807959
3068,23,23,21208,0.732688608
499,61,15,22630,0.686631021
2247,48,11,22702,0.684449828
881,22,44,24525,0.633410398
654,173,14,20071,0.773969907
2861,12,14,17036,0.911809697
1365,184,18,28902,0.537442738
2056,85,19,21877,0.710001828
2515,93,25,21654,0.717312275
979,88,16,28446,0.54602053
1363,33,23,27495,0.564865976
984,40,17,19599,0.7924302259999999
796,102,21,18537,0.837828128
919,40,23,24411,0.636216869
785,52,18,24344,0.637928853
1086,6,13,20418,0.7605793909999999
1257,10,17,17910,0.867074819
1544,13,23,19036,0.81577117
888,7,20,22529,0.689279595
2077,26,8,11757,1.320694055
1171,186,12,23972,0.647730686
423,6,18,20581,0.754439532
2318,212,16,23204,0.669153594
914,39,27,23932,0.648771519
2786,134,12,17787,0.8727924890000001
1342,92,21,22796,0.680968152
556,5,21,22174,0.7000338229999999
1228,269,14,23166,0.6700276270000001
2467,11,7,12351,1.2566261840000001
974,12,15,20145,0.770403574
1652,106,20,25889,0.599450346
1327,3,15,25360,0.6119345429999999
2426,2,5,25378,0.611489085
378,25,22,20315,0.763796702
2872,30,24,25923,0.5984793429999999
563,10,21,19729,0.786321658
509,7,26,21820,0.710968378
2110,58,12,20514,0.75622258
904,60,16,22429,0.6916358290000001
995,184,12,22486,0.6898634709999999
2879,35,14,19679,0.788230601
2138,23,23,22089,0.702154013
1190,8,15,20154,0.769566835
2531,21,14,18985,0.81694601
2435,82,14,22191,0.698888288
2214,73,16,21874,0.70900064
1601,169,10,19927,0.778168816
2836,35,5,11088,1.3984614
598,61,38,21329,0.726949693
714,15,14,25554,0.606689364
3279,21,13,21387,0.724882405
1670,73,18,25925,0.597823722
2983,23,20,22222,0.697392224
702,4,17,26140,0.592854629
2902,136,15,16628,0.9319713740000001
662,10,31,37198,0.41659928
2460,68,15,21664,0.7152871120000001
2449,164,6,12651,1.224715042
1132,153,10,18434,0.8405012479999999
1435,9,19,23448,0.6607403620000001
2579,126,13,22480,0.689151246
1210,24,17,11101,1.395471579
2956,22,17,31389,0.49332027100000003
784,49,12,19972,0.7752854
593,11,19,22098,0.700662956
1398,21,12,22676,0.682788411
1667,126,13,21855,0.708436513
1364,111,12,21813,0.709775363
449,6,12,20745,0.7462424679999999
885,114,15,15712,0.985218941
442,126,12,22020,0.702896458
974,107,27,23928,0.646706369
2785,40,16,18822,0.822133673
607,26,15,20979,0.7375699509999999
2172,45,14,21319,0.725791078
2478,34,8,14490,1.067760524
2021,13,20,24824,0.623182001
1474,4,15,23371,0.66189979
980,307,17,24839,0.622764604
429,10,19,22307,0.693355897
1223,4,17,27815,0.556034873
791,135,13,10814,1.4300647309999999
2857,174,7,18501,0.835714286
2037,65,10,19670,0.7859999999999999
981,46,23,34737,0.44501828
3433,217,13,25690,0.60170689
2567,11,33,24953,0.619459784
406,30,17,19857,0.778384952
1271,5,19,21524,0.7180812120000001
1743,35,14,26952,0.573449095
2597,21,25,20260,0.762739882
493,62,26,22373,0.6906932459999999
2911,26,18,23722,0.651414721
3273,95,18,20145,0.767051378
1699,27,11,17972,0.859681171
550,65,3,25192,0.6132359479999999
924,70,17,18455,0.837063668
2842,390,21,26090,0.592102338
1938,29,16,26674,0.579124991
2449,227,13,20571,0.750913422
994,13,26,19045,0.8110643209999999
1505,24,18,22802,0.6774085609999999
2858,39,25,21029,0.7345175709999999
449,48,15,19980,0.7730230229999999
3035,50,22,18633,0.828884238
726,394,8,20231,0.763410113
2103,134,12,19098,0.808686773
1281,2,11,19877,0.7769044620000001
1023,7,17,23121,0.667840924
2388,288,9,20113,0.76764431
540,48,12,23662,0.6524220270000001
816,75,13,19272,0.800995745
1233,245,16,27353,0.56433298
951,418,19,21791,0.708358956
744,256,14,21064,0.732791967
769,261,17,23996,0.643235123
839,104,11,19663,0.784914815
1864,68,12,20938,0.737040787
2221,46,22,25619,0.602363871
1645,79,10,24417,0.632009256
2383,43,14,20852,0.74004508
2865,77,11,24288,0.635342968
1870,61,18,23125,0.6672890810000001
852,46,16,21200,0.727849528
622,128,18,25044,0.616072113
2064,283,9,12631,1.221296809
2336,88,23,20859,0.7395388079999999
1312,12,12,23835,0.647186071
460,86,13,21803,0.707472366
988,10,13,19199,0.803388718
1318,48,10,19566,0.788316978
1702,58,18,16395,0.9407477890000001
463,1,20,22894,0.6736922340000001
796,5,13,24927,0.618665303
1395,51,10,17360,0.888258641
2033,153,13,18171,0.8486087720000001
793,56,14,18506,0.83323949
642,60,12,20878,0.738561165
741,13,27,25094,0.614471188
1266,233,13,21013,0.733799553
674,37,13,20643,0.7469481179999999
1701,181,5,18897,0.8159062290000001
1266,229,12,21533,0.7160247059999999
729,2,25,25247,0.610692359
1560,88,12,20650,0.7465046
947,108,4,22305,0.690998879
3276,330,5,10275,1.5
1541,31,9,19505,0.790155857
1312,34,16,20994,0.734091169
513,2,33,21430,0.71905133
505,66,6,19594,0.7863978770000001
3231,26,19,27950,0.551289088
436,15,19,24011,0.641714631
1268,74,18,19902,0.7741282279999999
2341,124,16,21156,0.728221308
482,3,19,19805,0.7778581170000001
1026,4,17,21085,0.7306184490000001
632,65,10,25092,0.613929539
1090,609,4,28003,0.55
534,186,16,25310,0.608464638
2934,4,10,16379,0.940105623
1433,292,6,10383,1.482950014
1589,104,16,26093,0.590090829
620,45,9,18299,0.84138095
2435,50,9,14502,1.061578403
1280,127,28,21974,0.7004673709999999
1180,5,13,21977,0.700267552
1431,49,16,25032,0.614798258
2893,9,8,16536,0.930652516
1654,72,11,24832,0.61965327
2969,6,29,21799,0.7058154040000001
373,81,10,23605,0.651789451
3375,119,11,21258,0.723617932
799,103,9,25398,0.605555556
743,95,15,22602,0.6804273959999999
914,83,13,23753,0.647454216
696,112,16,19642,0.782899908
1282,8,12,19838,0.775163323
474,207,13,21682,0.7092288529999999
2306,88,10,18197,0.845050833
1053,12,22,22364,0.687582722
2816,19,10,17289,0.889390942
1754,54,14,22500,0.6833564440000001
607,11,6,19380,0.793333333
562,497,6,19334,0.795096721
1122,2,12,20217,0.76035119
2567,70,12,16739,0.918317701
929,59,18,21155,0.7265714959999999
1971,11,11,18788,0.818093464
703,88,20,20191,0.761203011
423,74,14,18186,0.845112174
1296,3,21,18237,0.8427115209999999
1346,131,24,17701,0.86812101
511,42,16,21316,0.7207562390000001
527,80,16,26966,0.569739672
1185,78,18,23731,0.6473410310000001
1318,93,9,20952,0.7331782170000001
1022,219,16,21666,0.708929659
677,26,10,29291,0.524362432
721,62,28,23135,0.663878971
2600,108,16,21032,0.730166889
3050,67,16,21087,0.7282354059999999
919,2,17,24094,0.637347057
2141,83,16,22752,0.67487166
797,31,18,21853,0.7026234379999999
608,3,21,21155,0.725755613
399,7,24,20492,0.749226527
2568,13,14,19562,0.7848062570000001
1772,71,25,23694,0.647923103
2342,55,19,30702,0.49997948
2444,24,8,23480,0.65375
2488,34,18,25231,0.608359558
2257,74,12,22311,0.68790731
1197,152,14,17909,0.856894857
3011,7,19,21812,0.703373831
1191,29,7,25794,0.594782895
599,31,17,26733,0.573889575
935,300,8,18991,0.807833184
1243,20,12,21639,0.708852073
2250,47,11,27807,0.551588449
1958,33,15,17366,0.883193597
1124,6,23,19316,0.794025678
1475,418,16,17706,0.866172484
561,27,17,21543,0.7118989929999999
1640,71,19,19296,0.79478182
1319,238,17,15906,0.96414812
2156,222,17,19808,0.7741811390000001
1174,8,17,17899,0.8566540029999999
431,259,7,17271,0.887733773
1004,16,23,21025,0.7292142690000001
1198,60,21,23556,0.650857106
3056,43,15,20641,0.7427430840000001
846,9,13,21791,0.703501904
836,1,10,16017,0.9571049509999999
3202,93,19,26264,0.583682227
1847,176,13,18478,0.829546488
2252,98,9,23026,0.665673152
3184,409,21,21538,0.711616678
2080,373,10,19611,0.781505278
688,86,15,22666,0.676132533
2209,106,17,17039,0.899365573
1286,5,16,22845,0.670786605
1959,89,26,18465,0.8298878959999999
996,9,20,22310,0.68684805
948,13,15,23725,0.6458684929999999
769,88,22,25020,0.612434053
805,5,15,19001,0.8064307140000001
474,39,9,17703,0.8655555559999999
1807,24,16,20196,0.7586695390000001
986,27,14,21142,0.7247024879999999
1751,20,23,23543,0.650790044
726,254,13,18624,0.8226723579999999
1433,288,6,10732,1.427571748
1222,194,26,21627,0.708405697
979,289,11,19437,0.788080465
2716,109,18,20747,0.7382990309999999
934,360,12,22856,0.670154445
826,5,12,23599,0.648993178
2129,19,12,22653,0.676089701
1912,47,6,19803,0.7733762559999999
3076,14,10,18190,0.841925783
3046,238,15,24245,0.63162714
1102,22,22,21847,0.70095528
971,10,12,18123,0.844919715
1829,63,17,16779,0.912560343
1482,197,15,19306,0.793070548
1598,11,12,23316,0.656658518
2001,13,19,26485,0.57805286
3125,8,22,24835,0.616423596
1855,24,21,21350,0.717040749
2842,118,9,16166,0.946962761
2262,74,14,16817,0.910298507
924,27,11,19092,0.8018023259999999
840,79,26,24998,0.612354588
629,24,18,22906,0.668255915
2527,268,8,10276,1.489533865
1739,48,17,21506,0.7116869709999999
996,3,16,26479,0.577973866
1547,9,7,18501,0.827142857
1336,132,11,20195,0.757759842
2324,132,16,21961,0.69680479
2856,37,7,21824,0.701154692
2021,37,18,18488,0.8276352229999999
1645,441,8,10200,1.5
877,161,18,22421,0.682374114
644,202,14,20948,0.730260645
2570,180,10,21680,0.70550738
2907,32,12,19665,0.777793033
3170,25,17,19200,0.796560417
1530,14,32,26977,0.566856211
1424,186,14,20765,0.7364035640000001
928,17,18,17292,0.8842696040000001
1016,539,13,26429,0.578538726
990,195,2,24464,0.625
1571,685,2,24464,0.625
1663,237,2,24464,0.625
1519,178,2,24464,0.625
1295,240,2,24464,0.625
1058,174,2,24464,0.625
433,395,2,24464,0.625
991,215,10,18390,0.8314132679999999
1128,12,23,23359,0.654365341
2450,82,12,17426,0.877131872
650,18,26,20373,0.750240514
2504,76,19,18806,0.812644901
2112,48,16,20959,0.7291645590000001
2383,6,14,20296,0.75296216
1638,133,7,21857,0.6991389490000001
2181,79,22,23481,0.650722286
570,45,7,18960,0.805879747
2904,150,8,20093,0.760425024
447,141,14,18413,0.8297452890000001
1430,41,16,23036,0.663188488
1581,30,18,25488,0.599375785
3049,199,10,23315,0.655224534
562,64,7,10726,1.424197278
2624,66,10,22552,0.677361653
3088,73,16,20947,0.72925765
3240,4,18,24128,0.633106349
2550,55,13,17810,0.8575918020000001
881,19,7,11273,1.354890446
1957,32,14,19384,0.787952435
2668,84,14,16779,0.9102282620000001
685,2,15,21771,0.701394975
1059,12,15,18741,0.814771357
517,76,13,35953,0.424691959
1890,119,21,20430,0.74732697
2849,20,14,17561,0.869378737
2862,11,11,15610,0.9780096090000001
1677,9,14,23644,0.6456872779999999
2506,75,8,16458,0.927593875
1260,361,6,12094,1.262245742
483,13,10,19231,0.793788155
2254,112,15,18355,0.831652411
2931,80,19,19842,0.769312065
2480,48,14,18928,0.8064449490000001
1305,27,29,31705,0.48144204399999996
667,285,17,17916,0.851975887
2496,110,17,23083,0.6612364079999999
1182,7,20,26393,0.578275679
487,50,8,15175,1.005756837
1995,366,15,18858,0.8093170009999999
970,29,7,19894,0.7671428570000001
3310,282,9,30573,0.499168874
1394,63,14,25562,0.596986934
1959,27,15,17884,0.853267725
600,114,19,19444,0.7847999379999999
2064,193,25,22808,0.6690477029999999
979,12,13,22950,0.664898475
3046,165,24,19086,0.799504873
1903,30,24,25514,0.598073607
3240,188,10,10359,1.4730311809999999
971,13,15,15831,0.963826038
2449,24,17,25716,0.5932913360000001
1508,2,27,20444,0.746091763
1959,49,17,19964,0.764013224
1050,31,26,23153,0.658723708
1132,168,18,21289,0.716340364
774,178,12,18558,0.8217254009999999
370,167,11,21813,0.699090909
2419,3,12,25723,0.59274307
1501,8,17,19565,0.779193458
942,104,16,22108,0.689564863
1176,34,15,27024,0.564088588
531,61,16,21469,0.710033537
1098,88,20,21500,0.708988837
653,27,14,22879,0.666196949
613,4,18,24747,0.61577767
814,8,19,20366,0.7482186
919,67,20,25003,0.6094212689999999
1285,195,15,27139,0.561435941
1077,32,17,21367,0.713078111
2601,96,19,22610,0.673810703
718,529,16,17099,0.8909526870000001
1109,7,35,28495,0.534559045
1628,26,10,17196,0.8857757620000001
419,319,7,19341,0.787503231
765,154,6,14782,1.030292924
479,17,13,19729,0.7719286329999999
1140,2,17,25371,0.600247133
2122,125,15,26209,0.581039338
2908,20,16,21040,0.723736217
830,93,16,19776,0.7698872370000001
2997,18,23,21452,0.709621947
1628,9,11,22669,0.671524108
997,132,11,22540,0.675364685
1894,2,16,22543,0.675195848
572,108,8,15918,0.9561119490000001
3340,167,11,14108,1.078728381
1003,170,13,20521,0.74153014
2738,57,15,17923,0.848990682
576,9,14,18191,0.8363586390000001
2223,169,13,22281,0.682824828
1286,15,14,26206,0.58048653
1430,5,13,17316,0.878474821
1596,249,13,11935,1.274464181
2334,169,12,12908,1.178253796
1220,19,13,19023,0.7994979759999999
494,67,9,19837,0.766632555
968,231,12,21214,0.71683558
1419,6,9,17472,0.8703497020000001
2027,10,39,23443,0.648588065
2509,6,13,21078,0.721343581
3223,161,20,24229,0.62749804
1414,228,13,19451,0.781622539
1074,32,14,22429,0.677833162
1254,76,13,13743,1.1059273809999999
1858,117,27,20837,0.7293924270000001
1658,107,14,21910,0.693643998
1316,9,25,23960,0.634204925
454,79,14,24796,0.612801258
1042,57,16,19874,0.764514441
1038,38,11,23018,0.66007429
2097,73,17,23392,0.649506669
450,44,13,24927,0.609494524
1169,1,7,10703,1.41941792
2372,100,23,23230,0.653913043
1208,1,10,20461,0.742359122
586,17,11,18899,0.8036991379999999
841,32,7,24793,0.612636228
1518,78,15,18613,0.816039327
2927,20,13,20936,0.725463794
1258,215,3,22783,0.666643989
1089,47,9,20983,0.723817853
2289,13,13,20129,0.7544955040000001
2739,27,27,25564,0.594077218
2313,81,8,15855,0.9576890570000001
2498,151,14,18675,0.8129360109999999
1844,161,11,18619,0.815373543
1502,13,20,17241,0.880499971
3376,12,16,22592,0.6719307720000001
759,254,18,18247,0.831870992
432,22,8,19740,0.768926039
900,119,12,16451,0.922523251
1812,16,13,19364,0.783677959
2420,102,16,16797,0.903392272
690,24,18,23829,0.636796341
1551,1,18,17305,0.8768592890000001
395,43,10,22868,0.663515393
2252,27,17,20633,0.7353681
729,515,12,15696,0.966666667
1544,59,16,21208,0.715408336
1450,1,25,20255,0.7490269070000001
2151,23,33,20325,0.746412792
1393,85,8,21144,0.7175
1369,37,9,18351,0.826666667
2492,49,11,18133,0.836522914
524,38,17,21621,0.701547569
3087,72,9,24369,0.62239977
1902,18,13,22565,0.672134722
1207,115,13,24626,0.615873467
1491,2,20,17959,0.844382761
466,138,11,17176,0.8827561709999999
1372,35,18,17666,0.858208423
1846,116,14,17574,0.862672698
1029,21,19,19449,0.779413852
1375,37,19,20431,0.741904948
601,81,9,18962,0.7993661009999999
3119,251,12,15467,0.9796056120000001
608,18,15,20197,0.750176264
454,49,20,24002,0.631218232
1468,30,15,27359,0.553693848
977,446,17,23169,0.653819759
1231,130,19,18361,0.82497413
658,50,13,20662,0.733031652
762,43,20,20844,0.7266062179999999
423,407,3,28608,0.529372903
1500,154,15,19576,0.77359011
2146,2,16,20259,0.747484081
929,47,15,20031,0.755942289
1154,77,18,19818,0.7640150370000001
1359,137,15,18982,0.797647245
422,11,19,21539,0.702911927
405,1,41,25550,0.592477495
683,98,12,26749,0.565879846
612,369,12,18922,0.799926012
2835,100,13,24171,0.626209094
1154,13,15,18372,0.823832462
471,49,13,20783,0.728175432
3323,103,29,18268,0.8283753009999999
502,2,34,14395,1.05118305
1846,2,15,11273,1.342254945
876,72,12,17735,0.8530904990000001
2616,104,14,24565,0.615883167
2640,109,16,19848,0.762221383
